Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,721.75","17,870.30","17,584.20","17,854.05","243.65","1.38","4,241.22","34,503.44","18,887.60","15,183.40","0.42","-2.08"
"TITAN","2,320.10","2,470.00","2,320.10","2,458.30","150.20","6.51","36.94","895.83","2,791.00","1,825.05","-0.23","-5.94"
"ADANIPORTS","459.00","507.00","395.10","488.40","25.95","5.61","896.63","4,012.77","987.85","395.10","-34.46","-40.47"
"BAJAJFINSV","1,305.00","1,340.80","1,281.30","1,335.00","63.10","4.96","32.72","430.17","1,844.00","1,072.72","-92.01","-14.59"
"BAJFINANCE","5,770.00","6,030.00","5,747.05","6,000.00","282.35","4.94","14.87","877.56","7,778.00","5,220.00","-17.21","-9.18"
"HDFCBANK","1,611.00","1,660.50","1,607.00","1,658.25","54.90","3.42","72.06","1,183.12","1,722.10","1,271.60","8.30","1.15"
"SBIN","536.00","545.95","519.15","545.70","17.60","3.33","323.17","1,729.68","629.55","425.00","1.09","-10.89"
"HDFC","2,615.00","2,698.00","2,609.95","2,696.05","82.75","3.17","40.68","1,083.50","2,933.80","2,026.00","3.18","1.18"
"EICHERMOT","3,233.40","3,325.00","3,199.55","3,309.00","91.70","2.85","5.00","163.10","3,864.10","2,159.55","23.94","2.97"
"INDUSINDBK","1,110.00","1,131.00","1,079.00","1,106.05","30.15","2.80","92.07","1,016.30","1,275.80","763.20","13.40","-10.87"
"M&M","1,359.20","1,391.95","1,350.55","1,390.00","37.60","2.78","18.03","247.01","1,391.95","671.15","59.89","11.26"
"SBILIFE","1,115.00","1,145.65","1,115.00","1,136.50","29.00","2.62","40.61","458.06","1,340.35","1,003.50","-6.85","-10.40"
"UPL","701.10","718.00","697.50","713.75","17.35","2.49","26.02","184.38","848.00","607.50","-9.19","-0.78"
"SUNPHARMA","1,007.00","1,032.45","1,001.65","1,027.00","19.40","1.93","23.32","237.70","1,072.15","789.90","15.31","1.77"
"ASIANPAINT","2,705.65","2,763.90","2,700.00","2,756.90","51.25","1.89","12.78","349.51","3,582.90","2,560.00","-13.78","-8.96"
"BHARTIARTL","779.90","794.95","778.40","791.50","13.75","1.77","54.94","433.09","860.55","628.75","9.16","-3.19"
"BAJAJ-AUTO","3,785.00","3,858.00","3,769.20","3,852.85","62.15","1.64","2.42","92.47","4,131.75","3,125.00","8.99","6.97"
"AXISBANK","873.00","885.00","859.25","881.95","13.50","1.55","73.66","644.08","970.00","618.25","9.68","-8.35"
"NTPC","164.50","166.45","162.55","164.90","2.25","1.38","117.31","192.80","181.85","123.65","16.83","-1.61"
"POWERGRID","213.20","215.15","210.40","215.00","2.30","1.08","81.12","172.68","248.35","186.35","0.47","-0.28"
"ONGC","143.50","145.35","140.10","145.00","1.55","1.08","92.50","131.80","194.95","119.85","-15.35","-3.04"
"GRASIM","1,600.00","1,619.05","1,575.85","1,613.90","15.15","0.95","7.51","120.15","1,839.50","1,276.60","-9.23","-6.01"
"KOTAKBANK","1,770.60","1,783.70","1,745.20","1,777.20","15.45","0.88","26.75","471.35","1,997.55","1,631.00","-8.51","-3.04"
"BRITANNIA","4,590.00","4,659.75","4,570.10","4,611.00","37.95","0.83","5.17","239.14","4,659.75","3,050.00","27.34","8.70"
"INFY","1,597.50","1,604.65","1,573.00","1,595.65","11.90","0.75","70.40","1,121.93","1,923.30","1,355.00","-10.71","4.80"
"LT","2,176.95","2,181.85","2,131.05","2,161.00","16.10","0.75","20.46","441.47","2,297.65","1,456.35","8.99","3.45"
"JSWSTEEL","727.00","734.30","719.50","731.85","4.45","0.61","25.58","186.10","790.00","520.05","10.91","-4.69"
"MARUTI","8,940.00","8,963.00","8,845.15","8,923.30","53.15","0.60","3.51","312.91","9,769.00","6,536.55","4.79","6.45"
"ITC","381.90","382.25","372.00","380.70","2.10","0.55","222.95","843.94","384.70","207.00","63.99","14.98"
