Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","38,455.40","38,506.20","37,846.10","38,464.15","-9.75","-0.03","3,188.22","8,859.53","45,509.70","35,018.20","-8.96","-9.36"
"BANKBARODA","157.00","164.35","151.75","163.80","9.75","6.33","725.57","1,152.93","197.20","89.85","49.73","-12.64"
"AMBUJACEM","351.95","380.70","318.50","372.15","19.60","5.56","582.97","2,035.14","598.00","274.00","-2.07","-29.91"
"ACC","1,845.00","1,939.25","1,695.90","1,920.00","78.75","4.28","40.96","744.97","2,785.00","1,695.90","-16.76","-21.40"
"SIEMENS","2,934.95","3,049.00","2,920.30","3,034.45","108.95","3.72","5.84","175.20","3,138.50","2,150.10","24.41","6.94"
"BERGEPAINT","530.00","560.85","527.15","558.85","18.25","3.38","22.10","121.54","748.80","527.15","-24.75","-3.49"
"ICICIPRULI","409.00","423.70","408.35","420.00","10.55","2.58","35.50","148.08","608.75","387.05","-24.15","-10.42"
"ZOMATO","48.15","49.25","47.70","48.65","1.15","2.42","424.98","206.03","99.75","40.60","-50.81","-17.47"
"PIDILITIND","2,291.50","2,348.95","2,281.60","2,344.80","53.35","2.33","3.14","72.55","2,918.95","1,988.55","-7.06","-7.58"
"SBICARD","736.50","758.00","734.00","752.95","15.60","2.12","8.78","65.53","1,028.65","655.70","-15.97","-4.98"
"BOSCHLTD","17,100.00","17,445.00","17,083.10","17,420.00","251.30","1.46","0.18","30.63","18,224.70","12,932.45","4.33","1.67"
"MOTHERSON","75.30","77.00","74.60","76.00","1.05","1.40","144.48","109.56","91.67","61.80","-","-"
"INDUSTOWER","143.40","145.30","138.45","144.40","1.75","1.23","47.00","66.46","269.00","135.15","-44.41","-23.88"
"TORNTPHARM","1,537.00","1,550.00","1,522.90","1,544.00","16.95","1.11","1.43","21.93","1,750.00","1,242.08","-43.62","-0.05"
"BEL","93.40","94.40","91.70","94.00","0.90","0.97","159.07","148.20","114.65","62.33","-55.40","-6.33"
"NYKAA","140.20","143.80","138.00","141.00","1.10","0.79","125.61","177.92","319.62","120.70","-92.26","-8.14"
"CHOLAFIN","776.00","785.00","764.05","781.05","6.05","0.78","12.65","97.94","817.75","595.10","22.19","7.21"
"HDFCAMC","1,854.25","1,865.00","1,845.10","1,857.80","9.85","0.53","2.59","48.05","2,480.00","1,690.00","-19.06","-15.16"
"PIIND","3,005.95","3,059.95","2,979.90","3,015.55","15.15","0.50","2.38","71.95","3,698.45","2,351.30","19.67","-11.65"
"MUTHOOTFIN","1,026.00","1,036.55","1,017.15","1,030.00","4.00","0.39","2.55","26.20","1,501.60","950.20","-29.93","-5.27"
"BANDHANBNK","229.00","232.25","223.10","227.50","0.65","0.29","70.25","159.71","349.55","209.55","-29.03","-5.43"
"HAVELLS","1,200.00","1,204.45","1,181.55","1,200.00","1.20","0.10","3.53","42.09","1,405.55","1,024.50","-0.82","6.39"
"BAJAJHLDNG","6,063.20","6,063.20","5,960.00","6,039.20","6.20","0.10","0.18","10.91","7,378.45","4,294.05","14.82","6.69"
"ICICIGI","1,132.05","1,139.00","1,110.20","1,131.00","0.65","0.06","1.99","22.41","1,412.00","1,071.00","-18.28","-10.78"
"NAUKRI","3,659.25","3,724.00","3,612.00","3,647.00","1.55","0.04","2.32","85.22","5,140.00","3,313.00","-28.70","-6.89"
"VEDL","320.50","322.85","308.00","314.55","0.00","0.00","113.62","356.47","440.75","206.00","-8.36","-1.56"
"COLPAL","1,465.75","1,467.95","1,448.75","1,461.00","-0.45","-0.03","3.70","53.88","1,695.95","1,388.00","-0.05","-3.71"
"IOC","78.90","78.90","76.90","78.50","-0.05","-0.06","111.17","86.48","90.70","65.20","-36.92","0.00"
"SRF","2,213.85","2,229.50","2,185.00","2,201.55","-1.25","-0.06","3.52","77.68","2,865.00","2,002.20","-10.27","-4.40"
"LICI","602.10","604.50","586.00","598.10","-1.00","-0.17","22.77","135.47","918.95","582.35","-","-"
"MCDOWELL-N","771.90","775.15","761.35","769.65","-1.60","-0.21","7.10","54.44","951.80","712.00","-13.23","-11.03"
"MPHASIS","2,112.00","2,114.95","2,076.70","2,089.75","-6.05","-0.29","2.68","55.99","3,465.80","1,896.05","-33.19","4.26"
